plannin_area,subzone,age_group,sex,count
woodlands,woodlands west,35-39,m,990
yishun,khatib,35-39,m,340
yishun,lower seletar,35-39,m,110
yishun,nee soon,35-39,m,20
yishun,northland,35-39,m,1100
yishun,springleaf,35-39,m,110
yishun,yishun central,35-39,m,50
yishun,yishun east,35-39,m,2480
yishun,yishun south,35-39,m,1320
yishun,yishun west,35-39,m,2020
ang mo kio,ang mo kio town centre,40-44,m,240
ang mo kio,cheng san,40-44,m,1190
ang mo kio,chong boon,40-44,m,990
ang mo kio,kebun bahru,40-44,m,890
ang mo kio,sembawang hills,40-44,m,230
ang mo kio,shangri-la,40-44,m,680
ang mo kio,tagore,40-44,m,270
ang mo kio,townsville,40-44,m,910
ang mo kio,yio chu kang east,40-44,m,140
ang mo kio,yio chu kang west,40-44,m,1080
bedok,bayshore,40-44,m,450
bedok,bedok north,40-44,m,3100
bedok,bedok reservoir,40-44,m,1070
bedok,bedok south,40-44,m,1750
bedok,frankel,40-44,m,1610
bedok,kaki bukit,40-44,m,1310
bedok,kembangan,40-44,m,1330
bedok,siglap,40-44,m,250
bishan,bishan east,40-44,m,1030
bishan,marymount,40-44,m,1180
bishan,upper thomson,40-44,m,1120
bukit batok,bukit batok central,40-44,m,980
bukit batok,bukit batok east,40-44,m,600
bukit batok,bukit batok south,40-44,m,460
bukit batok,bukit batok west,40-44,m,570
bukit batok,gombak,40-44,m,380
bukit batok,guilin,40-44,m,560
bukit batok,hillview,40-44,m,650
bukit batok,hong kah north,40-44,m,1100
bukit merah,alexandra hill,40-44,m,550
bukit merah,alexandra north,40-44,m,50
bukit merah,bukit ho swee,40-44,m,560
bukit merah,bukit merah,40-44,m,40
bukit merah,depot road,40-44,m,270
bukit merah,everton park,40-44,m,410
bukit merah,henderson hill,40-44,m,450
bukit merah,kampong tiong bahru,40-44,m,390
bukit merah,maritime square,40-44,m,150
bukit merah,redhill,40-44,m,520
bukit merah,telok blangah drive,40-44,m,640
bukit merah,telok blangah rise,40-44,m,520
bukit merah,telok blangah way,40-44,m,450
bukit merah,tiong bahru,40-44,m,520
bukit merah,tiong bahru station,40-44,m,740
bukit panjang,bangkit,40-44,m,800
bukit panjang,dairy farm,40-44,m,220
bukit panjang,fajar,40-44,m,1010
bukit panjang,jelebu,40-44,m,1240
bukit panjang,nature reserve,40-44,m,170
bukit panjang,saujana,40-44,m,1000
bukit panjang,senja,40-44,m,980
bukit timah,anak bukit,40-44,m,760
bukit timah,coronation road,40-44,m,280
bukit timah,farrer court,40-44,m,230
bukit timah,hillcrest,40-44,m,410
bukit timah,holland road,40-44,m,480
bukit timah,leedon park,40-44,m,250
bukit timah,swiss club,40-44,m,230
bukit timah,ulu pandan,40-44,m,410
changi,changi point,40-44,m,40
changi,changi west,40-44,m,120
choa chu kang,choa chu kang central,40-44,m,790
choa chu kang,choa chu kang north,40-44,m,1100
choa chu kang,keat hong,40-44,m,560
choa chu kang,peng siang,40-44,m,1160
choa chu kang,teck whye,40-44,m,860
choa chu kang,yew tee,40-44,m,1960
clementi,clementi central,40-44,m,570
clementi,clementi north,40-44,m,1150
clementi,clementi west,40-44,m,670
clementi,clementi woods,40-44,m,610
clementi,faber,40-44,m,170
clementi,sunset way,40-44,m,190
clementi,west coast,40-44,m,310
downtown core,bugis,40-44,m,90
downtown core,cecil,40-44,m,10
downtown core,central subzone,40-44,m,40
downtown core,tanjong pagar,40-44,m,30
geylang,aljunied,40-44,m,1770
geylang,geylang east,40-44,m,1300
geylang,kampong ubi,40-44,m,430
geylang,macpherson,40-44,m,970
hougang,hougang central,40-44,m,150
hougang,hougang east,40-44,m,710
hougang,hougang west,40-44,m,1740
hougang,kangkar,40-44,m,1000
hougang,kovan,40-44,m,970
hougang,lorong ah soo,40-44,m,1260
hougang,tai seng,40-44,m,500
hougang,trafalgar,40-44,m,1780
jurong east,lakeside,40-44,m,40
jurong east,teban gardens,40-44,m,720
jurong east,toh guan,40-44,m,610
jurong east,yuhua east,40-44,m,1070
jurong east,yuhua west,40-44,m,770
jurong west,boon lay place,40-44,m,1200
jurong west,hong kah,40-44,m,2310
jurong west,jurong west central,40-44,m,3420
jurong west,taman jurong,40-44,m,1480
jurong west,wenya,40-44,m,490
jurong west,yunnan,40-44,m,2890
kallang,bendemeer,40-44,m,1340
kallang,boon keng,40-44,m,420
kallang,crawford,40-44,m,350
kallang,geylang bahru,40-44,m,540
kallang,kampong bugis,40-44,m,30
kallang,kampong java,40-44,m,500
kallang,lavender,40-44,m,500
kallang,tanjong rhu,40-44,m,610
mandai,mandai estate,40-44,m,90
marine parade,katong,40-44,m,460
marine parade,marine parade,40-44,m,1250
marine parade,mountbatten,40-44,m,440
museum,dhoby ghaut,40-44,m,10
museum,fort canning,40-44,m,20
newton,cairnhill,40-44,m,160
newton,goodwood park,40-44,m,60
newton,monk's hill,40-44,m,50
newton,newton circus,40-44,m,10
newton,orange grove,40-44,m,60
novena,balestier,40-44,m,1460
novena,dunearn,40-44,m,150
novena,malcolm,40-44,m,110
novena,moulmein,40-44,m,480
novena,mount pleasant,40-44,m,20
orchard,boulevard,40-44,m,20
orchard,tanglin,40-44,m,20
outram,china square,40-44,m,60
outram,chinatown,40-44,m,570
outram,pearl's hill,40-44,m,270
outram,people's park,40-44,m,20
pasir ris,flora drive,40-44,m,520
pasir ris,loyang east,40-44,m,60
pasir ris,pasir ris central,40-44,m,890
pasir ris,pasir ris drive,40-44,m,1910
pasir ris,pasir ris park,40-44,m,190
pasir ris,pasir ris west,40-44,m,1390
punggol,matilda,40-44,m,1260
punggol,northshore,40-44,m,10
punggol,punggol field,40-44,m,2670
punggol,punggol town centre,40-44,m,290
punggol,waterway east,40-44,m,1400
queenstown,commonwealth,40-44,m,300
queenstown,dover,40-44,m,530
queenstown,ghim moh,40-44,m,450
queenstown,holland drive,40-44,m,630
queenstown,kent ridge,40-44,m,40
queenstown,margaret drive,40-44,m,460
queenstown,mei chin,40-44,m,630
queenstown,national university of s'pore,40-44,m,10
queenstown,one north,40-44,m,50
queenstown,pasir panjang 1,40-44,m,180
queenstown,pasir panjang 2,40-44,m,130
queenstown,port,40-44,m,10
queenstown,queensway,40-44,m,20
queenstown,singapore polytechnic,40-44,m,10
queenstown,tanglin halt,40-44,m,550
river valley,institution hill,40-44,m,230
river valley,leonie hill,40-44,m,140
river valley,one tree hill,40-44,m,70
river valley,oxley,40-44,m,50
river valley,paterson,40-44,m,10
rochor,bencoolen,40-44,m,60
rochor,farrer park,40-44,m,170
rochor,kampong glam,40-44,m,10
rochor,little india,40-44,m,180
rochor,mackenzie,40-44,m,10
rochor,mount emily,40-44,m,80
rochor,selegie,40-44,m,10
rochor,sungei road,40-44,m,100
rochor,victoria,40-44,m,70
seletar,seletar,40-44,m,20
sembawang,admiralty,40-44,m,760
sembawang,sembawang central,40-44,m,1360
sembawang,sembawang north,40-44,m,1340
sembawang,sembawang springs,40-44,m,160
sembawang,sembawang straits,40-44,m,90
sengkang,anchorvale,40-44,m,2200
sengkang,compassvale,40-44,m,950
sengkang,fernvale,40-44,m,1550
sengkang,rivervale,40-44,m,2690
sengkang,sengkang town centre,40-44,m,2410
serangoon,lorong chuan,40-44,m,260
serangoon,seletar hills,40-44,m,420
serangoon,serangoon central,40-44,m,950
serangoon,serangoon garden,40-44,m,1260
serangoon,serangoon north,40-44,m,620
serangoon,upper paya lebar,40-44,m,470
singapore river,boat quay,40-44,m,10
singapore river,clarke quay,40-44,m,20
singapore river,robertson quay,40-44,m,170
southern islands,sentosa,40-44,m,70
sungei kadut,turf club,40-44,m,20
tampines,simei,40-44,m,1640
tampines,tampines east,40-44,m,4350
tampines,tampines west,40-44,m,2680
tampines,xilin,40-44,m,50
tanglin,chatsworth,40-44,m,330
tanglin,nassim,40-44,m,390
tanglin,ridout,40-44,m,50
tanglin,tyersall,40-44,m,160
toa payoh,boon teck,40-44,m,510
toa payoh,braddell,40-44,m,380
toa payoh,joo seng,40-44,m,290
toa payoh,kim keat,40-44,m,320
toa payoh,lorong 8 toa payoh,40-44,m,280
toa payoh,pei chun,40-44,m,480
toa payoh,potong pasir,40-44,m,540
toa payoh,sennett,40-44,m,150
toa payoh,toa payoh central,40-44,m,1270
toa payoh,toa payoh west,40-44,m,520
toa payoh,woodleigh,40-44,m,110
western water catchment,western water catchment,40-44,m,50
woodlands,midview,40-44,m,1200
woodlands,north coast,40-44,m,500
woodlands,woodgrove,40-44,m,1280
woodlands,woodlands east,40-44,m,4370
woodlands,woodlands south,40-44,m,1560
woodlands,woodlands west,40-44,m,1100
yishun,khatib,40-44,m,380
yishun,lower seletar,40-44,m,120
yishun,nee soon,40-44,m,40
yishun,northland,40-44,m,1130
yishun,springleaf,40-44,m,110
yishun,yishun central,40-44,m,40
yishun,yishun east,40-44,m,2000
yishun,yishun south,40-44,m,1410
yishun,yishun west,40-44,m,2260
ang mo kio,ang mo kio town centre,45-49,m,210
ang mo kio,cheng san,45-49,m,1110
ang mo kio,chong boon,45-49,m,980
ang mo kio,kebun bahru,45-49,m,920
ang mo kio,sembawang hills,45-49,m,270
ang mo kio,shangri-la,45-49,m,690
ang mo kio,tagore,45-49,m,260
ang mo kio,townsville,45-49,m,770
ang mo kio,yio chu kang east,45-49,m,130
ang mo kio,yio chu kang west,45-49,m,990
bedok,bayshore,45-49,m,380
bedok,bedok north,45-49,m,3170
bedok,bedok reservoir,45-49,m,970
bedok,bedok south,45-49,m,1820
bedok,frankel,45-49,m,1320
bedok,kaki bukit,45-49,m,1360
bedok,kembangan,45-49,m,1320
bedok,siglap,45-49,m,260
bishan,bishan east,45-49,m,950
bishan,marymount,45-49,m,1120
bishan,upper thomson,45-49,m,1140
bukit batok,bukit batok central,45-49,m,1010
bukit batok,bukit batok east,45-49,m,550
bukit batok,bukit batok south,45-49,m,570
bukit batok,bukit batok west,45-49,m,590
bukit batok,gombak,45-49,m,330
bukit batok,guilin,45-49,m,570
bukit batok,hillview,45-49,m,830
bukit batok,hong kah north,45-49,m,1150
bukit merah,alexandra hill,45-49,m,540
bukit merah,alexandra north,45-49,m,50
bukit merah,bukit ho swee,45-49,m,590
bukit merah,bukit merah,45-49,m,50
bukit merah,depot road,45-49,m,200
bukit merah,everton park,45-49,m,320
bukit merah,henderson hill,45-49,m,510
bukit merah,kampong tiong bahru,45-49,m,430
bukit merah,maritime square,45-49,m,130
bukit merah,redhill,45-49,m,470
bukit merah,telok blangah drive,45-49,m,590
bukit merah,telok blangah rise,45-49,m,490
bukit merah,telok blangah way,45-49,m,410
bukit merah,tiong bahru,45-49,m,410
bukit merah,tiong bahru station,45-49,m,590
bukit panjang,bangkit,45-49,m,870
bukit panjang,dairy farm,45-49,m,240
bukit panjang,fajar,45-49,m,960
bukit panjang,jelebu,45-49,m,1380
bukit panjang,nature reserve,45-49,m,190
bukit panjang,saujana,45-49,m,880
bukit panjang,senja,45-49,m,720
bukit timah,anak bukit,45-49,m,790
bukit timah,coronation road,45-49,m,240
bukit timah,farrer court,45-49,m,190
bukit timah,hillcrest,45-49,m,400
bukit timah,holland road,45-49,m,490
bukit timah,leedon park,45-49,m,280
bukit timah,swiss club,45-49,m,250
bukit timah,ulu pandan,45-49,m,400
changi,changi point,45-49,m,30
changi,changi west,45-49,m,90
choa chu kang,choa chu kang central,45-49,m,950
choa chu kang,choa chu kang north,45-49,m,1700
choa chu kang,keat hong,45-49,m,660
choa chu kang,peng siang,45-49,m,1320
choa chu kang,teck whye,45-49,m,1060
choa chu kang,yew tee,45-49,m,2000
clementi,clementi central,45-49,m,490
clementi,clementi north,45-49,m,960
clementi,clementi west,45-49,m,680
clementi,clementi woods,45-49,m,600
clementi,faber,45-49,m,170
clementi,sunset way,45-49,m,220
clementi,west coast,45-49,m,270
downtown core,bugis,45-49,m,100
downtown core,cecil,45-49,m,10
downtown core,central subzone,45-49,m,30
downtown core,tanjong pagar,45-49,m,30
geylang,aljunied,45-49,m,1670
geylang,geylang east,45-49,m,1130
geylang,kampong ubi,45-49,m,440
geylang,macpherson,45-49,m,1200
hougang,hougang central,45-49,m,210
hougang,hougang east,45-49,m,660
hougang,hougang west,45-49,m,1730
hougang,kangkar,45-49,m,980
hougang,kovan,45-49,m,890
hougang,lorong ah soo,45-49,m,1280
hougang,tai seng,45-49,m,520
hougang,trafalgar,45-49,m,1910
jurong east,lakeside,45-49,m,50
jurong east,teban gardens,45-49,m,680
jurong east,toh guan,45-49,m,650
jurong east,yuhua east,45-49,m,990
jurong east,yuhua west,45-49,m,800
jurong west,boon lay place,45-49,m,1360
jurong west,hong kah,45-49,m,2220
jurong west,jurong west central,45-49,m,2660
jurong west,taman jurong,45-49,m,1670
jurong west,wenya,45-49,m,340
jurong west,yunnan,45-49,m,2930
kallang,bendemeer,45-49,m,1210
kallang,boon keng,45-49,m,420
kallang,crawford,45-49,m,390
kallang,geylang bahru,45-49,m,580
kallang,kampong bugis,45-49,m,30
kallang,kampong java,45-49,m,430
kallang,lavender,45-49,m,430
kallang,tanjong rhu,45-49,m,550
mandai,mandai estate,45-49,m,80
marine parade,katong,45-49,m,410
marine parade,marine parade,45-49,m,1100
marine parade,mountbatten,45-49,m,400
museum,dhoby ghaut,45-49,m,10
museum,fort canning,45-49,m,10
newton,cairnhill,45-49,m,160
newton,goodwood park,45-49,m,50
newton,monk's hill,45-49,m,50
newton,newton circus,45-49,m,10
newton,orange grove,45-49,m,60
novena,balestier,45-49,m,1300
novena,dunearn,45-49,m,160
novena,malcolm,45-49,m,90
novena,moulmein,45-49,m,370
novena,mount pleasant,45-49,m,20
orchard,boulevard,45-49,m,20
orchard,tanglin,45-49,m,20
outram,china square,45-49,m,50
outram,chinatown,45-49,m,400
outram,pearl's hill,45-49,m,310
outram,people's park,45-49,m,10
pasir ris,flora drive,45-49,m,550
pasir ris,loyang east,45-49,m,80
pasir ris,pasir ris central,45-49,m,990
pasir ris,pasir ris drive,45-49,m,2260
pasir ris,pasir ris park,45-49,m,130
pasir ris,pasir ris west,45-49,m,1750
punggol,matilda,45-49,m,770
punggol,northshore,45-49,m,10
punggol,punggol field,45-49,m,1700
punggol,punggol town centre,45-49,m,160
punggol,waterway east,45-49,m,810
queenstown,commonwealth,45-49,m,300
queenstown,dover,45-49,m,530
queenstown,ghim moh,45-49,m,370
queenstown,holland drive,45-49,m,530
queenstown,kent ridge,45-49,m,50
queenstown,margaret drive,45-49,m,350
queenstown,mei chin,45-49,m,620
queenstown,national university of s'pore,45-49,m,10
queenstown,one north,45-49,m,50
queenstown,pasir panjang 1,45-49,m,150
queenstown,pasir panjang 2,45-49,m,140
queenstown,queensway,45-49,m,20
queenstown,singapore polytechnic,45-49,m,10
queenstown,tanglin halt,45-49,m,520
river valley,institution hill,45-49,m,170
river valley,leonie hill,45-49,m,130
river valley,one tree hill,45-49,m,90
river valley,oxley,45-49,m,60
river valley,paterson,45-49,m,10
rochor,bencoolen,45-49,m,60
rochor,farrer park,45-49,m,140
rochor,little india,45-49,m,150
rochor,mount emily,45-49,m,50
rochor,selegie,45-49,m,10
rochor,sungei road,45-49,m,70
rochor,victoria,45-49,m,70
seletar,seletar,45-49,m,20
sembawang,admiralty,45-49,m,520
sembawang,sembawang central,45-49,m,1260
sembawang,sembawang north,45-49,m,1110
sembawang,sembawang springs,45-49,m,190
sembawang,sembawang straits,45-49,m,70
sengkang,anchorvale,45-49,m,1370
sengkang,compassvale,45-49,m,500
sengkang,fernvale,45-49,m,1030
sengkang,rivervale,45-49,m,2460
sengkang,sengkang town centre,45-49,m,2310
serangoon,lorong chuan,45-49,m,330
serangoon,seletar hills,45-49,m,450
serangoon,serangoon central,45-49,m,850
serangoon,serangoon garden,45-49,m,1270
serangoon,serangoon north,45-49,m,680
serangoon,upper paya lebar,45-49,m,500
singapore river,boat quay,45-49,m,10
singapore river,clarke quay,45-49,m,10
singapore river,robertson quay,45-49,m,130
southern islands,sentosa,45-49,m,100
sungei kadut,turf club,45-49,m,30
tampines,simei,45-49,m,1510
tampines,tampines east,45-49,m,4890
tampines,tampines west,45-49,m,2800
tampines,xilin,45-49,m,60
tanglin,chatsworth,45-49,m,280
tanglin,nassim,45-49,m,390
tanglin,ridout,45-49,m,40
tanglin,tyersall,45-49,m,170
toa payoh,boon teck,45-49,m,560
toa payoh,braddell,45-49,m,390
toa payoh,joo seng,45-49,m,250
toa payoh,kim keat,45-49,m,320
toa payoh,lorong 8 toa payoh,45-49,m,310
toa payoh,pei chun,45-49,m,490
toa payoh,potong pasir,45-49,m,450
toa payoh,sennett,45-49,m,140
toa payoh,toa payoh central,45-49,m,1130
toa payoh,toa payoh west,45-49,m,470
toa payoh,woodleigh,45-49,m,110
western water catchment,western water catchment,45-49,m,30
woodlands,midview,45-49,m,1700
woodlands,north coast,45-49,m,610
woodlands,woodgrove,45-49,m,1710
woodlands,woodlands east,45-49,m,4320
woodlands,woodlands south,45-49,m,1480
woodlands,woodlands west,45-49,m,1280
yishun,khatib,45-49,m,370
yishun,lower seletar,45-49,m,130
yishun,nee soon,45-49,m,40
yishun,northland,45-49,m,1170
yishun,springleaf,45-49,m,110
yishun,yishun central,45-49,m,40
yishun,yishun east,45-49,m,1770
yishun,yishun south,45-49,m,1300
yishun,yishun west,45-49,m,2420
ang mo kio,ang mo kio town centre,50-54,m,170
ang mo kio,cheng san,50-54,m,1180
ang mo kio,chong boon,50-54,m,1150
ang mo kio,kebun bahru,50-54,m,990
ang mo kio,sembawang hills,50-54,m,280
ang mo kio,shangri-la,50-54,m,850
ang mo kio,tagore,50-54,m,320
ang mo kio,townsville,50-54,m,850
ang mo kio,yio chu kang east,50-54,m,150
ang mo kio,yio chu kang west,50-54,m,1060
bedok,bayshore,50-54,m,320
bedok,bedok north,50-54,m,3700
bedok,bedok reservoir,50-54,m,980
bedok,bedok south,50-54,m,2030
bedok,frankel,50-54,m,1160
bedok,kaki bukit,50-54,m,1650
bedok,kembangan,50-54,m,1490
bedok,siglap,50-54,m,220
bishan,bishan east,50-54,m,980
bishan,marymount,50-54,m,1330
bishan,upper thomson,50-54,m,1160
bukit batok,bukit batok central,50-54,m,1030
bukit batok,bukit batok east,50-54,m,600
bukit batok,bukit batok south,50-54,m,640
bukit batok,bukit batok west,50-54,m,640
bukit batok,gombak,50-54,m,340
bukit batok,guilin,50-54,m,600
bukit batok,hillview,50-54,m,950
bukit batok,hong kah north,50-54,m,1220
bukit merah,alexandra hill,50-54,m,620
bukit merah,alexandra north,50-54,m,30
bukit merah,bukit ho swee,50-54,m,650
bukit merah,bukit merah,50-54,m,40
bukit merah,depot road,50-54,m,180
bukit merah,everton park,50-54,m,290
bukit merah,henderson hill,50-54,m,480
bukit merah,kampong tiong bahru,50-54,m,420
bukit merah,maritime square,50-54,m,140
bukit merah,redhill,50-54,m,480
bukit merah,telok blangah drive,50-54,m,590
bukit merah,telok blangah rise,50-54,m,470
bukit merah,telok blangah way,50-54,m,480
bukit merah,tiong bahru,50-54,m,350
bukit merah,tiong bahru station,50-54,m,570
bukit panjang,bangkit,50-54,m,1160
bukit panjang,dairy farm,50-54,m,220
bukit panjang,fajar,50-54,m,1050
bukit panjang,jelebu,50-54,m,1460
bukit panjang,nature reserve,50-54,m,180
bukit panjang,saujana,50-54,m,980
bukit panjang,senja,50-54,m,680
bukit timah,anak bukit,50-54,m,820
bukit timah,coronation road,50-54,m,220
bukit timah,farrer court,50-54,m,180
bukit timah,hillcrest,50-54,m,350
bukit timah,holland road,50-54,m,390
bukit timah,leedon park,50-54,m,220
bukit timah,swiss club,50-54,m,190
bukit timah,ulu pandan,50-54,m,400
changi,changi point,50-54,m,40
changi,changi west,50-54,m,40
choa chu kang,choa chu kang central,50-54,m,1060
choa chu kang,choa chu kang north,50-54,m,1910
choa chu kang,keat hong,50-54,m,810
choa chu kang,peng siang,50-54,m,1440
choa chu kang,teck whye,50-54,m,1300
choa chu kang,yew tee,50-54,m,1840
clementi,clementi central,50-54,m,520
clementi,clementi north,50-54,m,1050
clementi,clementi west,50-54,m,670
clementi,clementi woods,50-54,m,650
clementi,faber,50-54,m,170
clementi,sunset way,50-54,m,240
clementi,west coast,50-54,m,190
downtown core,bugis,50-54,m,80
downtown core,cecil,50-54,m,10
downtown core,central subzone,50-54,m,20
downtown core,tanjong pagar,50-54,m,30
geylang,aljunied,50-54,m,1810
geylang,geylang east,50-54,m,1270
geylang,kampong ubi,50-54,m,560
geylang,macpherson,50-54,m,1360
hougang,hougang central,50-54,m,200
hougang,hougang east,50-54,m,960
hougang,hougang west,50-54,m,2340
hougang,kangkar,50-54,m,1150
hougang,kovan,50-54,m,1000
hougang,lorong ah soo,50-54,m,1400
hougang,tai seng,50-54,m,620
hougang,trafalgar,50-54,m,2110
jurong east,lakeside,50-54,m,40
jurong east,teban gardens,50-54,m,740
jurong east,toh guan,50-54,m,670
jurong east,yuhua east,50-54,m,1070
jurong east,yuhua west,50-54,m,830
jurong west,boon lay place,50-54,m,1370
jurong west,hong kah,50-54,m,2260
jurong west,jurong west central,50-54,m,2290
jurong west,taman jurong,50-54,m,1490
jurong west,wenya,50-54,m,240
jurong west,yunnan,50-54,m,3290
kallang,bendemeer,50-54,m,1230
kallang,boon keng,50-54,m,460
kallang,crawford,50-54,m,520
kallang,geylang bahru,50-54,m,580
kallang,kampong bugis,50-54,m,30
kallang,kampong java,50-54,m,440
kallang,lavender,50-54,m,430
kallang,tanjong rhu,50-54,m,440
mandai,mandai estate,50-54,m,80
marine parade,katong,50-54,m,360
marine parade,marine parade,50-54,m,1000
marine parade,mountbatten,50-54,m,410
museum,dhoby ghaut,50-54,m,10
museum,fort canning,50-54,m,10
newton,cairnhill,50-54,m,140
newton,goodwood park,50-54,m,40
newton,monk's hill,50-54,m,40
newton,newton circus,50-54,m,10
newton,orange grove,50-54,m,70
novena,balestier,50-54,m,1260
novena,dunearn,50-54,m,150
novena,malcolm,50-54,m,100
novena,moulmein,50-54,m,330
novena,mount pleasant,50-54,m,30
orchard,boulevard,50-54,m,20
orchard,tanglin,50-54,m,20
outram,china square,50-54,m,80
outram,chinatown,50-54,m,420
outram,pearl's hill,50-54,m,400
outram,people's park,50-54,m,10
pasir ris,flora drive,50-54,m,590
pasir ris,loyang east,50-54,m,80
pasir ris,pasir ris central,50-54,m,1290
pasir ris,pasir ris drive,50-54,m,3160
pasir ris,pasir ris park,50-54,m,160
pasir ris,pasir ris west,50-54,m,1970
punggol,matilda,50-54,m,650
punggol,northshore,50-54,m,10
punggol,punggol field,50-54,m,1410
punggol,punggol town centre,50-54,m,120
punggol,waterway east,50-54,m,700
queenstown,commonwealth,50-54,m,360
queenstown,dover,50-54,m,520
queenstown,ghim moh,50-54,m,450
queenstown,holland drive,50-54,m,490
queenstown,kent ridge,50-54,m,50
queenstown,margaret drive,50-54,m,340
queenstown,mei chin,50-54,m,700
queenstown,national university of s'pore,50-54,m,10
queenstown,one north,50-54,m,30
queenstown,pasir panjang 1,50-54,m,170
queenstown,pasir panjang 2,50-54,m,130
queenstown,port,50-54,m,10
queenstown,queensway,50-54,m,20
queenstown,tanglin halt,50-54,m,510
river valley,institution hill,50-54,m,110
river valley,leonie hill,50-54,m,100
river valley,one tree hill,50-54,m,80
river valley,oxley,50-54,m,50
river valley,paterson,50-54,m,10
rochor,bencoolen,50-54,m,60
rochor,farrer park,50-54,m,120
rochor,kampong glam,50-54,m,10
rochor,little india,50-54,m,170
rochor,mount emily,50-54,m,50
rochor,selegie,50-54,m,10
rochor,sungei road,50-54,m,110
rochor,victoria,50-54,m,100
seletar,seletar,50-54,m,20
sembawang,admiralty,50-54,m,530
sembawang,sembawang central,50-54,m,1160
sembawang,sembawang north,50-54,m,970
sembawang,sembawang springs,50-54,m,190
sembawang,sembawang straits,50-54,m,80
sengkang,anchorvale,50-54,m,1060
sengkang,compassvale,50-54,m,460
sengkang,fernvale,50-54,m,900
sengkang,rivervale,50-54,m,2340
sengkang,sengkang town centre,50-54,m,2130
serangoon,lorong chuan,50-54,m,380
serangoon,seletar hills,50-54,m,510
serangoon,serangoon central,50-54,m,950
serangoon,serangoon garden,50-54,m,1450
serangoon,serangoon north,50-54,m,810
serangoon,upper paya lebar,50-54,m,600
singapore river,boat quay,50-54,m,10
singapore river,clarke quay,50-54,m,10
singapore river,robertson quay,50-54,m,100
southern islands,sentosa,50-54,m,110
sungei kadut,turf club,50-54,m,20
tampines,simei,50-54,m,1750
tampines,tampines east,50-54,m,5820
tampines,tampines west,50-54,m,3220
tampines,xilin,50-54,m,120
tanglin,chatsworth,50-54,m,220
tanglin,nassim,50-54,m,350
tanglin,ridout,50-54,m,60
tanglin,tyersall,50-54,m,130
toa payoh,boon teck,50-54,m,620
toa payoh,braddell,50-54,m,430
toa payoh,joo seng,50-54,m,270
toa payoh,kim keat,50-54,m,340
toa payoh,lorong 8 toa payoh,50-54,m,320
toa payoh,pei chun,50-54,m,480
toa payoh,potong pasir,50-54,m,480
toa payoh,sennett,50-54,m,160
toa payoh,toa payoh central,50-54,m,1090
toa payoh,toa payoh west,50-54,m,530
toa payoh,woodleigh,50-54,m,80
western water catchment,western water catchment,50-54,m,40
woodlands,midview,50-54,m,1740
woodlands,north coast,50-54,m,710
woodlands,woodgrove,50-54,m,1690
woodlands,woodlands east,50-54,m,4100
woodlands,woodlands south,50-54,m,1300
woodlands,woodlands west,50-54,m,1520
yishun,khatib,50-54,m,490
yishun,lower seletar,50-54,m,90
yishun,nee soon,50-54,m,40
yishun,northland,50-54,m,1350
yishun,springleaf,50-54,m,140
yishun,yishun central,50-54,m,80
yishun,yishun east,50-54,m,2090
yishun,yishun south,50-54,m,1740
yishun,yishun west,50-54,m,2560
ang mo kio,ang mo kio town centre,55-59,m,150
ang mo kio,cheng san,55-59,m,1070
ang mo kio,chong boon,55-59,m,1100
ang mo kio,kebun bahru,55-59,m,890
ang mo kio,sembawang hills,55-59,m,270
ang mo kio,shangri-la,55-59,m,740
ang mo kio,tagore,55-59,m,370
ang mo kio,townsville,55-59,m,860
ang mo kio,yio chu kang east,55-59,m,210
ang mo kio,yio chu kang west,55-59,m,1020
bedok,bayshore,55-59,m,190
bedok,bedok north,55-59,m,3460
bedok,bedok reservoir,55-59,m,900
bedok,bedok south,55-59,m,2060
bedok,frankel,55-59,m,1060
bedok,kaki bukit,55-59,m,1880
bedok,kembangan,55-59,m,1700
bedok,siglap,55-59,m,250
bishan,bishan east,55-59,m,1200
bishan,marymount,55-59,m,1280
bishan,upper thomson,55-59,m,1270
bukit batok,bukit batok central,55-59,m,1100
bukit batok,bukit batok east,55-59,m,640
bukit batok,bukit batok south,55-59,m,620
bukit batok,bukit batok west,55-59,m,650
bukit batok,gombak,55-59,m,330
bukit batok,guilin,55-59,m,520
bukit batok,hillview,55-59,m,750
bukit batok,hong kah north,55-59,m,1310
bukit merah,alexandra hill,55-59,m,620
bukit merah,alexandra north,55-59,m,30
bukit merah,bukit ho swee,55-59,m,740
bukit merah,bukit merah,55-59,m,30
bukit merah,depot road,55-59,m,160
bukit merah,everton park,55-59,m,310
bukit merah,henderson hill,55-59,m,550
bukit merah,kampong tiong bahru,55-59,m,450
bukit merah,maritime square,55-59,m,90
bukit merah,redhill,55-59,m,480
bukit merah,telok blangah drive,55-59,m,560
bukit merah,telok blangah rise,55-59,m,500
bukit merah,telok blangah way,55-59,m,500
bukit merah,tiong bahru,55-59,m,370
bukit merah,tiong bahru station,55-59,m,580
bukit panjang,bangkit,55-59,m,1110
bukit panjang,dairy farm,55-59,m,220
bukit panjang,fajar,55-59,m,950
bukit panjang,jelebu,55-59,m,1470
bukit panjang,nature reserve,55-59,m,140
bukit panjang,saujana,55-59,m,980
bukit panjang,senja,55-59,m,660
bukit timah,anak bukit,55-59,m,860
bukit timah,coronation road,55-59,m,180
bukit timah,farrer court,55-59,m,140
